post_id,href,post_title,date,post,raw_company,raw_title,raw_yoe,raw_salary,raw_salary_total,raw_location,company,title,location,yoe,salary,salary_total
1543866,https://leetcode.com/discuss/compensation/1543866/Microsoft-L61-offer-or-Hyderabad,Microsoft L61 offer | Hyderabad,2021/10/27,"Education: BTech in Computer Science from Tier1 college
Years of Experience: 3.4 years
Prior Experience: SDE2 at one of the FAANG companies
Previous compensation: 32 base + $30K stocks for 2 years
Date of the Offer: Oct 2021
Company: Microsoft
Title/Level: Software Engineer 2 (L61)
Location: Hyderabad, India
Salary: 28,00,000
Relocation: 1,10,000
Signing Bonus: 7,00,000 (5,00,000 + 2,00,000)
Stock bonus: $120K stocks vested over 4 years
Bonus: Performance-based bonus upto 20% of base
Total comp (Salary + Bonus + Stock): ~60 LPA
Benefits: Standard MS benefits
Edit: Negotiated on the base component and it got budged slightly.",microsoft,software engineer 2,3.4 years,"28,00,000",: ~60 lpa,"hyderabad, india",microsoft,sde 2,hyderabad,3.4,2800000.0,6000000.0
1089354,https://leetcode.com/discuss/compensation/1089354/Phonepe-or-SDE-or-Bangalore,Phonepe | SDE | Bangalore,2021/03/02,"Education: B.Tech in ECE
Years of Experience: 0
Prior Experience: Software Engineer intern at Mediatek India Technology Pvt.Ltd
Date of the Offer: November 2020
Company: Phonepe
Title/Level: SDE
Location: Bangalore (Karnataka)/India
Salary: 17.5lpa
Relocation: NA
Signing Bonus: 5 lacs
Stock bonus: 8 lacs for 4 years
Bonus: Based on performance
Total comp (Salary + Bonus + Stock): 30.5lpa.
Benefits: Basic Phone benefits
Other details: It was a thrilling interview experience.",phonepe,sde,0,17.5lpa,: 30.5lpa.,bangalore,phonepe,sde 1,bangalore,0.0,1750000.0,3050000.0
1231715,https://leetcode.com/discuss/compensation/1231715/Cure.fit-or-SDE-1-or-Bangalore,Cure.fit | SDE 1 | Bangalore,2021/05/26,"Education: B.Tech from Tier-1
Years of Experience: 0
Date of the Offer: May 2021
Company: cure.fit
Title/Level: Software Development Engineer (SDE-1)
Location: Bangalore
Salary: INR 19,50,000
Joining Bonus: INR 1,00,000
ESOPS: INR 7,00,000 (Equally distributed in 4 years)
Total comp (Salary + Bonus): INR 20,50,000 ( Not including stocks as company is currently privately held )
Other benefits: Standard cure.fit benefits",cure.fit,software development engineer,0,"inr 19,50,000",": inr 20,50,000 ( not including stocks as company is currently privately held )",bangalore,cure.fit,sde 1,bangalore,0.0,1950000.0,2050000.0
917622,https://leetcode.com/discuss/compensation/917622/Sprinklr-or-SE2-or-Gurgaon,Sprinklr | SE2 | Gurgaon,2020/10/31,"Education: BTech in Computer Science from Deemed University
Years of Experience: 0
Prior Experience: Interned at Microsoft , Sprinklr
Company: Sprinklr
Title/Level: Product Engineer
Location: Gurgaon, India
Base Salary: 22,00,000 INR
Bonus: Performance-based bonus ( 3,00,000 INR )
Total comp (Salary + Bonus): ~25,00,000 INR
Perks : PF, Gratuity, Free Food, Cab pickup and drop , Relocation Allowance , Equity",sprinklr,product engineer,0,"22,00,000 inr",": ~25,00,000 inr","gurgaon, india",sprinklr,product engineer 1,delhi,0.0,2200000.0,2500000.0
1205498,https://leetcode.com/discuss/compensation/1205498/HashedIn-or-SDE-1-or-Bangalore,HashedIn | SDE 1 | Bangalore,2021/05/13,"Education: Tier 2 Engineering College (MCA)
Years of Experience: 2 years
Prior Experience: 2 years Product based Company
Date of the Offer: May 2021
Company: HashedIn by Deloitte
Title: Software Engineer - I (Band 7)
Location: Bangalore
Salary: 9.5 LPA
Performance Bonus: 1.5 L
Total comp (Salary + Bonus + Stock): 11 LPA
Benefits: Free food 4 times a day and other HashedIn benefits
Other details: Previous Compensation was 7.3 LPA
Interview Exp: https://bit.ly/3tIVsjl
PS: Do upvote if you like it. :-)",hashedin by deloitte,software engineer - i,2 years,9.5 lpa,: 11 lpa,bangalore,deloitte,sde 1,bangalore,2.0,950000.0,1100000.0
1606366,https://leetcode.com/discuss/compensation/1606366/Amazon-or-SDE-or-Bangalore-India,"Amazon | SDE | Bangalore, India",2021/12/01,"Education: Btech from tier-1
Years of Experience: 0
Prior Experience: None
Date of the Offer: 15 September,2021 (Oncampus)
Company: Amazon
Title/Level: Software Development Engineer
Location: Chennai
Base pay : 14,50,000
Sign on bouns: Y1-360000 and Y2- 225000
RSU - 1181432
Interview experiences :https://leetcode.com/discuss/interview-experience/1156330/Post's-links-for-Amazon-SDE-1-preparation",amazon,software development engineer,0,"14,50,000",,chennai,amazon,sde 1,chennai,0.0,1450000.0,-1.0
607996,https://leetcode.com/discuss/compensation/607996/Ninjacart-or-SDE2-or-Bangalore,Ninjacart | SDE2 | Bangalore,2020/05/02,"Education: Bachelor's in I.T. from a tier-1 university in India (IITs/BITS/NITs)
Years of Experience: 4.5
Prior Experience: Tier 1 company
Date of the Offer: Feb 2020
Company: Ninjacart
Title/Level: SDE2
Location: Bangalore
Salary: INR 26,50,000
Signing Bonus: INR 2,00,000
Variable: NA
Stock bonus: NA
Total comp (Salary + Bonus + Stock): INR 28,50,000 first year
Benefits: Gratuity and Medical Insurance",ninjacart,sde2,4.5,"inr 26,50,000",": inr 28,50,000 first year",bangalore,ninjacart,sde 2,bangalore,4.5,2650000.0,2850000.0
1638277,https://leetcode.com/discuss/compensation/1638277/SDE-1-(Backend)-or-GROWW-(Off-Campus),SDE-1 (Backend) | GROWW (Off- Campus),2021/12/21,"Education: B.Tech in CSE (2021 Batch)
Years of Experience: 6 months as FTE
Prior Experience: 6 months Intern
Prev CTC: 9 LPA
GROWW:
Date of the Offer: Dec 2021
Company: Groww
Title/Level: Software Development Engineer - I (Backend)
Location: Bangalore ( WFH now)
Salary: 15 LPA (Fixed including internet reimbursment)
Relocation: To be decided
Signing Bonus: Nil
Stock bonus: 3,00,000 (ESOPS vested over 4 years, 25% each year)
Performance Bonus: 2,00,000
Total comp (Salary + Bonus + Stock): 18 LPA (15 + 2 + 3 / 4) per year
CTC: 20 LPA
Benefits: Unlimited leaves, flexible timing
Other details: Negotiated once, original offer did not have signing bonus.
Interview experience: https://leetcode.com/discuss/interview-experience/1645191/Groww-oror-SDE-1-(Backend)-oror-Bangalore
Reason to switch early: beacuse I was not getting good work at current org.
Let me know if you have any questions, would be happy to help.
Keep grinding leetcode.",groww,software development engineer - i,6 months as fte,15 lpa,: 18 lpa (15 + 2 + 3 / 4) per year,bangalore,groww,sde 1,bangalore,0.5,1500000.0,1800000.0
578877,https://leetcode.com/discuss/compensation/578877/Oracle-or-Software-Developer-or-Bangalore,Oracle | Software Developer | Bangalore,2020/04/14,"Education: BS in Computer Science
Years of Experience: 0
Prior Experience: 0
Date of the Offer: June 2019
Company: Oracle
Title/Level: Software Developer
Location: Bangalore
Salary: 900000
Relocation: 187000
Signing Bonus: 0
Stock bonus: 0
Bonus: Not mentioned
Total comp (Salary + Bonus + Stock): ~9L
Benefits: Typical benefits at Oracle
Other details: Campus Interview",oracle,software developer,0,900000,: ~9l,bangalore,oracle,sde 1,bangalore,0.0,900000.0,900000.0
905583,https://leetcode.com/discuss/compensation/905583/HashedIn-or-Software-Engineer-or-Bangalore,HashedIn | Software Engineer | Bangalore,2020/10/22,"Education: B.Tech in Computer Science (from tier 2 college)
Years of Experience: 0
Company: Hashedin
Offer Type: Internship + Full time
Title/Level: Software developer
Location: Bangalore
Stipend During Internship: 21k per month
Base Salary: 6 LPA
Variable: 1 LPA
Joining bonus: 1 L
Total comp (Salary + Variable + Joining Bonus): 8 LPA
Other Benefits: Free food + other standard employee benefits",hashedin,software developer,0,6 lpa,: 8 lpa,bangalore,hashedin,sde 1,bangalore,0.0,600000.0,800000.0
