post_id,post_title,date,raw_company,raw_title,raw_yoe,raw_salary,raw_salary_total,raw_location,company,title,location,yoe,salary,salary_total
1543866,Microsoft L61 offer | Hyderabad,2021/10/27,microsoft,software engineer 2,3.4 years,"28,00,000",: ~60 lpa,"hyderabad, india",microsoft,sde 2,hyderabad,3.4,2800000.0,6000000.0
1089354,Phonepe | SDE | Bangalore,2021/03/02,phonepe,sde,0,17.5lpa,: 30.5lpa.,bangalore,phonepe,sde 1,bangalore,0.0,1750000.0,3050000.0
1231715,Cure.fit | SDE 1 | Bangalore,2021/05/26,cure.fit,software development engineer,0,"inr 19,50,000",": inr 20,50,000 ( not including stocks as company is currently privately held )",bangalore,cure.fit,sde 1,bangalore,0.0,1950000.0,2050000.0
917622,Sprinklr | SE2 | Gurgaon,2020/10/31,sprinklr,product engineer,0,"22,00,000 inr",": ~25,00,000 inr","gurgaon, india",sprinklr,product engineer 1,delhi,0.0,2200000.0,2500000.0
1205498,HashedIn | SDE 1 | Bangalore,2021/05/13,hashedin by deloitte,software engineer - i,2 years,9.5 lpa,: 11 lpa,bangalore,deloitte,sde 1,bangalore,2.0,950000.0,1100000.0
1606366,"Amazon | SDE | Bangalore, India",2021/12/01,amazon,software development engineer,0,"14,50,000",,chennai,amazon,sde 1,chennai,0.0,1450000.0,-1.0
607996,Ninjacart | SDE2 | Bangalore,2020/05/02,ninjacart,sde2,4.5,"inr 26,50,000",": inr 28,50,000 first year",bangalore,ninjacart,sde 2,bangalore,4.5,2650000.0,2850000.0
1638277,SDE-1 (Backend) | GROWW (Off- Campus),2021/12/21,groww,software development engineer - i,6 months as fte,15 lpa,: 18 lpa (15 + 2 + 3 / 4) per year,bangalore,groww,sde 1,bangalore,0.5,1500000.0,1800000.0
578877,Oracle | Software Developer | Bangalore,2020/04/14,oracle,software developer,0,900000,: ~9l,bangalore,oracle,sde 1,bangalore,0.0,900000.0,900000.0
905583,HashedIn | Software Engineer | Bangalore,2020/10/22,hashedin,software developer,0,6 lpa,: 8 lpa,bangalore,hashedin,sde 1,bangalore,0.0,600000.0,800000.0
1609900,Google | L4 | Bangalore,2021/12/03,google,software engineer - l4,5+,35l,: 35l base + 3.5l bonus + 22.8l stocks = 61.3l,bangalore,google,n/a,bangalore,5.0,3500000.0,6130000.0
1584444,Amazon | SDE1 | Bangalore | Nov 2021,2021/11/18,amazon,sde 1,2.2,"inr 20,00,000",": inr 28,00,000 first year.",bangalore,amazon,sde 1,bangalore,2.2,2000000.0,2800000.0
350344,Uber | SE1 | Hyderabad,2019/08/04,uber,software engineer 1,1,1900000 per annum,: 2700000,hyderabad,uber,sde 1,hyderabad,1.0,1900000.0,2700000.0
1516668,Myntra | SSE | Bangalore,2021/10/12,myntra,senior software engineer,3+,34.5 lpa,: 45.75 lpa,bangalore,myntra,sde 2,bangalore,3.0,3450000.0,4575000.0
507047,Uber | SDE II | Hyderabad,2020/02/12,uber,sde ii,4 years,"inr 32,00,000",: around inr 50l first year,"hyderabad, india",uber,sde 2,hyderabad,4.0,3200000.0,5000000.0
1233843,Disney+Hotstar SDE-1,2021/05/27,disney,software development engineer,10 months,"inr 21,00,000 base",,bangalore,disney,sde 1,bangalore,0.8333333333333334,2100000.0,-1.0
953510,Amazon | SDE 2 | Hyderabad,2020/11/29,amazon,sde 2,4 yrs 4 months,"inr 28,50,000",: 28.5 + 18.25 + 1 rsu which is close to inr 48 lpa for first year,hyderabad,amazon,sde 2,hyderabad,4.333333333333333,2850000.0,4800000.0
